# //  ModelSim SE 10.1d Nov  1 2012 Linux 2.6.32-358.23.2.el6.x86_64
# //
# //  Copyright 1991-2012 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  THIS WORK CONTAINS TRADE SECRET AND PROPRIETARY INFORMATION
# //  WHICH IS THE PROPERTY OF MENTOR GRAPHICS CORPORATION OR ITS
# //  LICENSORS AND IS SUBJECT TO LICENSE TERMS.
# //
# vsim -L ece411 -L mp3lib -l transcript.txt -i -multisource_delay latest -t ns +typdelays -foreign {hdsInit /software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll} -pli {"/software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll"} ece411.Datapath(struct) 
# ** Note: (vsim-3812) Design is being optimized...
# ** Note: (vsim-3865) Due to PLI being present, full design access is being specified.
# Loading /software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll
# Loading std.standard
# Loading std.textio(body)
# Loading ieee.std_logic_1164(body)
# Loading ieee.numeric_std(body)
# Loading work.lc3b_types(body)
# Loading ieee.std_logic_arith(body)
# Loading work.datapath(struct)#1
# Loading work.adj_sext_unit(struct)#1
# Loading work.adj11(untitled)#1
# Loading work.adj6(untitled)#1
# Loading work.adj8(untitled)#1
# Loading work.adj9(untitled)#1
# Loading work.sext5(untitled)#1
# Loading work.sext6(untitled)#1
# Loading work.control_rom(untitled)#1
# Loading work.dram16_dp(untitled)#1
# Loading work.reg_ex_mem(untitled)#1
# Loading work.reg_id_ex(untitled)#1
# Loading work.reg_if_id(untitled)#1
# Loading work.reg_mem_wb(untitled)#1
# Loading work.splitter_ex(untitled)#1
# Loading work.splitter_id(untitled)#1
# Loading work.splitter_mem(untitled)#1
# Loading work.splitter_wb(untitled)#1
# Loading work.stage_execute(struct)#1
# Loading work.alu(untitled)#1
# Loading work.bradd(untitled)#1
# Loading work.wordmux2(untitled)#1
# Loading work.wordmux4(untitled)#1
# Loading work.stage_id(struct)#1
# Loading work.r7(untitled)#1
# Loading work.regfile(untitled)#1
# Loading work.regmux2(untitled)#1
# Loading work.stage_if(struct)#1
# Loading work.plus2(untitled)#1
# Loading work.reg16(untitled)#1
# Loading work.stage_memory(struct)#1
# Loading work.delay_rega(untitled)#1
# Loading work.selhbyte(untitled)#1
# Loading work.sellbyte(untitled)#1
# Loading mp3lib.and2(untitled)#1
# Loading mp3lib.and3(untitled)#1
# Loading mp3lib.comp16(untitled)#1
# Loading mp3lib.not1(untitled)#1
# Loading mp3lib.or2(untitled)#1
# Loading work.stage_wb(struct)#1
# Loading work.clrhbyte(untitled)#1
# Loading work.clrlbyte(untitled)#1
# Loading work.gencc(untitled)#1
# Loading work.nzp(untitled)#1
# Loading work.nzpsplit(untitled)#1
# Loading work.sext8(untitled)#1
# Loading work.checkbr(untitled)#1
# Loading work.pulse45(untitled)#1
do mp3-cp1.do
# --- Executing initialization force file for ../testcode/mp3-cp1.asm --- 
# Resetting processor for 5 ns. 
# Initializing the processor. 
# ** Error: (vish-4008) Object '/start_h' not found.
# Error in macro ./mp3-cp1.do line 7
# ** Error: (vish-4008) Object '/start_h' not found.
# 
#     while executing
# "force /start_h 0 @0"
# hds_restart 
restart -force
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# ** Note: (vsim-3865) Due to PLI being present, full design access is being specified.
# Loading /software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll
# Loading std.standard
# Loading std.textio(body)
# Loading ieee.std_logic_1164(body)
# Loading ieee.numeric_std(body)
# Loading work.lc3b_types(body)
# Loading ieee.std_logic_arith(body)
# Loading work.datapath(struct)#1
# Loading work.adj_sext_unit(struct)#1
# Loading work.adj11(untitled)#1
# Loading work.adj6(untitled)#1
# Loading work.adj8(untitled)#1
# Loading work.adj9(untitled)#1
# Loading work.sext5(untitled)#1
# Loading work.sext6(untitled)#1
# Loading work.control_rom(untitled)#1
# Loading work.dram16_dp(untitled)#1
# Loading work.reg_ex_mem(untitled)#1
# Loading work.reg_id_ex(untitled)#1
# Loading work.reg_if_id(untitled)#1
# Loading work.reg_mem_wb(untitled)#1
# Loading work.splitter_ex(untitled)#1
# Loading work.splitter_id(untitled)#1
# Loading work.splitter_mem(untitled)#1
# Loading work.splitter_wb(untitled)#1
# Loading work.stage_execute(struct)#1
# Loading work.alu(untitled)#1
# Loading work.bradd(untitled)#1
# Loading work.wordmux2(untitled)#1
# Loading work.wordmux4(untitled)#1
# Loading work.stage_id(struct)#1
# Loading work.r7(untitled)#1
# Loading work.regfile(untitled)#1
# Loading work.regmux2(untitled)#1
# Loading work.stage_if(struct)#1
# Loading work.plus2(untitled)#1
# Loading work.reg16(untitled)#1
# Loading work.stage_memory(struct)#1
# Loading work.delay_rega(untitled)#1
# Loading work.selhbyte(untitled)#1
# Loading work.sellbyte(untitled)#1
# Loading mp3lib.and2(untitled)#1
# Loading mp3lib.and3(untitled)#1
# Loading mp3lib.comp16(untitled)#1
# Loading mp3lib.not1(untitled)#1
# Loading mp3lib.or2(untitled)#1
# Loading work.stage_wb(struct)#1
# Loading work.clrhbyte(untitled)#1
# Loading work.clrlbyte(untitled)#1
# Loading work.gencc(untitled)#1
# Loading work.nzp(untitled)#1
# Loading work.nzpsplit(untitled)#1
# Loading work.sext8(untitled)#1
# Loading work.checkbr(untitled)#1
# Loading work.pulse45(untitled)#1
do mp3-cp1.do
# --- Executing initialization force file for ../testcode/mp3-cp1.asm --- 
# Resetting processor for 5 ns. 
# Initializing the processor. 
# Done initializing processor, loading ../testcode/mp3-cp1.asm program code. 
# ** Warning: NUMERIC_STD.TO_INTEGER: metavalue detected, returning 0
#    Time: 0 ns  Iteration: 0  Instance: /datapath/aStage_ID/U_0
